result_type,component,current_energy_mwh,optimized_energy_mwh,energy_saving_mwh,reduction_percent,current_active_time_min,optimized_active_time_min,minimum_active_time_min,constraint_status
COMPONENT,ESP32,13.156385,6.591623,6.564761,49.9,10.0,5.0,5.0,SATISFIED
COMPONENT,DHT22 / AM2302,8.25,8.25,0.0,0.0,60.0,60.0,60.0,NO_CHANGE
SYSTEM,TOTAL_SYSTEM,21.406385,14.841623,6.564761,30.67,,,,SATISFIED
TOP_OPTION_1,ESP32,21.406385,14.841623,6.564761,30.67,13.156385,5.0,5.0,SATISFIED
TOP_OPTION_2,ESP32,21.406385,15.4981,5.908285,27.6,13.156385,5.5,5.0,SATISFIED
TOP_OPTION_3,ESP32,21.406385,16.154576,5.251809,24.53,13.156385,6.0,5.0,SATISFIED
TOP_OPTION_4,ESP32,21.406385,16.811052,4.595333,21.47,13.156385,6.5,5.0,SATISFIED
TOP_OPTION_5,ESP32,21.406385,17.467528,3.938857,18.4,13.156385,7.0,5.0,SATISFIED
